指标,数值
总样本数,45
平均绝对误差(岁),7.41
误差标准差(岁),5.89
中位数误差(岁),5.89
最小误差(岁),0.48
最大误差(岁),22.55
平均相对误差(%),19.8%
RMSE(岁),9.42
预测平均值,40.6
真实平均值,40.4
